word,value,uniqueness,count
cento,36.4683,5,86902.0
conte,36.4683,5,620643.0
oncet,36.4683,5,0.0
tecon,36.4683,5,0.0
moier,36.4628,5,0.0
moire,36.4628,5,110581.0
enapt,36.4297,5,0.0
paten,36.4297,5,47772.0
tapen,36.4297,5,0.0
penta,36.4297,5,353973.0
petri,36.4044,5,1072903.0
tripe,36.4044,5,215448.0
perit,36.4044,5,0.0
piert,36.4044,5,0.0
retip,36.4044,5,0.0
anger,36.3631,5,7991036.0
areng,36.3631,5,0.0
grane,36.3631,5,30206.0
range,36.3631,5,128314924.0
regna,36.3631,5,0.0
renga,36.3631,5,46990.0
alure,36.3583,5,0.0
laure,36.3583,5,216746.0
ureal,36.3583,5,0.0
dares,36.3577,5,526302.0
dears,36.3577,5,217282.0
rased,36.3577,5,0.0
reads,36.3577,5,13174104.0
canel,36.3398,5,24887.0
clean,36.3398,5,45381752.0
ancle,36.3398,5,0.0
lance,36.3398,5,5509634.0
lenca,36.3398,5,0.0
angie,36.327,5,2281695.0
gaine,36.327,5,30204.0
diner,36.3252,5,2261961.0
riden,36.3252,5,27256.0
rinde,36.3252,5,12812.0
aides,36.3216,5,1614522.0
ideas,36.3216,5,67309657.0
aside,36.3216,5,11768649.0
sadie,36.3216,5,873023.0
crile,36.3145,5,19092.0
elric,36.3145,5,193165.0
relic,36.3145,5,947341.0
airts,36.3083,5,0.0
arist,36.3083,5,23428.0
astir,36.3083,5,51145.0
sitar,36.3083,5,255993.0
stair,36.3083,5,2012524.0
stria,36.3083,5,40045.0
tarsi,36.3083,5,18846.0
tisar,36.3083,5,0.0
trias,36.3083,5,88764.0
ament,36.2755,5,68334.0
manet,36.2755,5,335542.0
meant,36.2755,5,17832930.0
menat,36.2755,5,0.0
menta,36.2755,5,42660.0
teman,36.2755,5,69453.0
enhat,36.266,5,0.0
ethan,36.266,5,2256315.0
nathe,36.266,5,0.0
neath,36.266,5,571177.0
thane,36.266,5,423334.0
abret,36.2611,5,0.0
baret,36.2611,5,0.0
bater,36.2611,5,22850.0
berat,36.2611,5,24999.0
taber,36.2611,5,342966.0
ermit,36.2502,5,15125.0
merit,36.2502,5,6450895.0
miter,36.2502,5,450148.0
mitre,36.2502,5,714477.0
mtier,36.2502,5,0.0
remit,36.2502,5,1111713.0
timer,36.2502,5,7488669.0
togae,36.2422,5,0.0
their,36.2407,5,782849411.0
ither,36.2407,5,26653.0
rithe,36.2407,5,0.0
doter,36.2404,5,0.0
tored,36.2404,5,26065.0
trode,36.2404,5,47157.0
beati,36.225,5,22271.0
afore,36.2138,5,191691.0
enols,36.203,5,0.0
noels,36.203,5,34012.0
solen,36.203,5,54054.0
lenos,36.203,5,0.0
slone,36.203,5,116356.0
rouen,36.1903,5,437498.0
ceros,36.179,5,0.0
cores,36.179,5,1983675.0
corse,36.179,5,400005.0
crose,36.179,5,0.0
score,36.179,5,69315004.0
aoife,36.1777,5,71772.0
cosie,36.1429,5,0.0
rapes,36.14040000000001,5,712505.0
apers,36.1404,5,39349.0
apres,36.1404,5,282360.0
asper,36.1404,5,84389.0
pares,36.1404,5,136717.0
parse,36.1404,5,3698919.0
pears,36.1404,5,1105539.0
prase,36.1404,5,0.0
presa,36.1404,5,95089.0
reaps,36.1404,5,147148.0
repas,36.1404,5,49507.0
spaer,36.1404,5,0.0
spare,36.1404,5,10009522.0
spear,36.1404,5,2942538.0
alder,36.1119,5,972850.0
daler,36.1119,5,105365.0
lader,36.1119,5,101679.0
readl,36.1119,5,26087.0
piner,36.1079,5,22693.0
prine,36.1079,5,231151.0
repin,36.1079,5,32159.0
ripen,36.1079,5,191197.0
paise,36.1043,5,60362.0
sepia,36.1043,5,741438.0
adiel,36.0758,5,0.0
ailed,36.0758,5,20703.0
delia,36.0758,5,764694.0
ideal,36.0758,5,26036289.0
litra,36.0625,5,0.0
trail,36.0625,5,23648838.0
trial,36.0625,5,56547673.0
petro,36.0231,5,747577.0
poret,36.0231,5,0.0
porte,36.0231,5,1084129.0
poter,36.0231,5,58356.0
prote,36.0231,5,84267.0
repot,36.0231,5,69544.0
tepor,36.0231,5,0.0
toper,36.0231,5,38676.0
trope,36.0231,5,109419.0
airns,36.0118,5,0.0
naris,36.0118,5,0.0
rains,36.0118,5,2183544.0
ranis,36.0118,5,0.0
sarin,36.0118,5,270347.0
after,36.001200000000004,5,372948094.0
frate,36.001200000000004,5,24184.0
trefa,36.001200000000004,5,0.0
afret,36.0012,5,0.0
slent,35.9904,5,0.0
mares,35.986200000000004,5,789891.0
marse,35.986200000000004,5,20005.0
maser,35.986200000000004,5,177541.0
reams,35.986200000000004,5,253943.0
smear,35.986200000000004,5,1289528.0
enrut,35.9777,5,0.0
tuner,35.9777,5,6238319.0
urent,35.9777,5,0.0
asher,35.9767,5,863144.0
earsh,35.9767,5,0.0
hares,35.9767,5,270712.0
hears,35.9767,5,1737280.0
rheas,35.9767,5,0.0
share,35.9767,5,119294241.0
shear,35.9767,5,2886210.0
saute,35.9741,5,546457.0
tayer,35.967,5,0.0
teary,35.967,5,137396.0
crest,35.9664,5,5477034.0
arneb,35.964600000000004,5,0.0
abner,35.9646,5,445318.0
reban,35.9646,5,0.0
inerm,35.953700000000005,5,0.0
miner,35.9537,5,2264812.0
amies,35.950100000000006,5,35247.0
agone,35.9457,5,0.0
genoa,35.9457,5,1548016.0
hiren,35.9442,5,39553.0
rhein,35.9442,5,342044.0
rhine,35.9442,5,1162642.0
drone,35.9439,5,725818.0
ronde,35.9439,5,399731.0
intue,35.9416,5,0.0
unite,35.9416,5,2888724.0
untie,35.9416,5,146576.0
ceorl,35.9332,5,0.0
cesti,35.9303,5,13726.0
cites,35.9303,5,3151464.0
astor,35.927,5,697049.0
ratos,35.927,5,14793.0
roast,35.927,5,3205415.0
rotas,35.927,5,41389.0
taros,35.927,5,0.0
toras,35.927,5,0.0
deino,35.9078,5,0.0
dione,35.9078,5,208399.0
edoni,35.9078,5,0.0
oleic,35.8971,5,179394.0
lepra,35.8946,5,0.0
paler,35.8946,5,152772.0
parel,35.8946,5,50705.0
parle,35.8946,5,217836.0
pearl,35.8946,5,18707334.0
perla,35.8946,5,710761.0
prela,35.8946,5,0.0
relap,35.8946,5,0.0
intro,35.8945,5,11938092.0
iortn,35.8945,5,0.0
nitro,35.8945,5,2533124.0
norit,35.8945,5,0.0
iotas,35.8909,5,0.0
ostia,35.8909,5,122493.0
sitao,35.8909,5,0.0
staio,35.8909,5,0.0
stoai,35.8909,5,0.0
erika,35.884600000000006,5,1471358.0
arkie,35.8846,5,18844.0
metro,35.868900000000004,5,18738665.0
moter,35.868900000000004,5,41758.0
other,35.8594,5,978481319.0
